1,cm_000000001,11@1,test0.9685581984949366@test.com,Thu Jun 13 11:44:56 EEST 2013,1,4,0,7,3,6,2,2,7,1,6,4,0,3,9,6,2,5,1,9,4,7,3,8,0,string
2,cm_000000002,11@1,test0.8051718321523592@test.com,Thu Jun 13 11:44:56 EEST 2013,6,9,8,8,7,0,9,3,2,5,4,9,8,2,1,4,3,6,5,6,5,8,7,0,0,string
3,cm_000000003,11@1,test0.18130696385114886@test.com,Thu Jun 13 11:44:56 EEST 2013,8,5,9,6,5,4,8,5,4,1,5,9,8,5,9,6,7,4,8,5,4,8,2,9,0,string
4,cm_000000004,11@1,test0.90711241391226@test.com,Thu Jun 13 11:44:56 EEST 2013,9,2,4,6,8,1,0,3,5,7,2,4,6,8,8,0,2,5,9,1,4,6,6,8,0,string
5,cm_000000005,11@1,test0.05420780751793153@test.com,Thu Jun 13 11:44:56 EEST 2013,8,8,8,6,9,7,7,7,3,0,8,6,1,9,1,9,5,0,0,8,6,3,3,1,0,string
6,cm_000000006,11@1,test0.4728851990303826@test.com,Thu Jun 13 11:44:56 EEST 2013,6,7,0,1,7,0,6,7,0,1,9,0,6,4,0,1,9,0,5,7,2,6,1,2,0,string
7,cm_000000007,11@1,test0.589659665860714@test.com,Thu Jun 13 11:44:56 EEST 2013,3,9,0,2,8,7,6,5,4,2,1,0,7,8,9,8,4,6,7,3,0,9,2,1,0,string
8,cm_000000008,11@1,test0.7367550594663855@test.com,Thu Jun 13 11:44:56 EEST 2013,6,0,7,1,3,8,5,9,1,5,2,7,1,5,2,7,9,3,0,4,6,1,7,2,0,string
9,cm_000000009,11@1,test0.5386893749807636@test.com,Thu Jun 13 11:44:56 EEST 2013,7,2,1,7,7,1,1,7,7,1,1,9,1,3,1,9,1,1,1,1,1,0,0,1,0,string
10,cm_000000010,11@1,test0.26449481014071374@test.com,Thu Jun 13 11:44:56 EEST 2013,2,6,7,5,0,6,9,9,2,0,6,3,4,4,8,3,6,6,7,5,1,5,8,9,0,string
11,cm_000000011,11@1,test0.5393425316152424@test.com,Thu Jun 13 11:44:56 EEST 2013,4,3,1,7,6,4,8,1,2,3,2,5,9,5,6,2,0,9,3,3,6,5,4,9,1,string
12,cm_000000012,11@1,test0.3412768322284594@test.com,Thu Jun 13 11:44:56 EEST 2013,5,9,8,5,9,8,4,1,0,4,3,0,4,3,7,4,3,6,5,2,6,5,9,6,1,string
13,cm_000000013,11@1,test0.6761132208168668@test.com,Thu Jun 13 11:44:56 EEST 2013,8,0,2,2,9,1,1,6,7,2,0,2,8,8,1,0,6,8,2,8,8,0,3,4,1,string
14,cm_000000014,11@1,test0.8232086293236994@test.com,Thu Jun 13 11:44:56 EEST 2013,5,7,0,2,8,8,6,3,1,8,6,4,9,2,4,6,9,2,5,7,3,0,8,5,1,string
15,cm_000000015,11@1,test0.7528952429046124@test.com,Thu Jun 13 11:44:56 EEST 2013,0,6,4,0,5,1,0,5,8,4,3,8,1,6,7,8,6,7,0,1,9,9,3,3,1,string
